source_json,annotation_id,image_id,category_id,category_name,image_file,image_width,image_height,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,bbox_area_over_image_area,bbox_w_over_image_w,bbox_h_over_image_h,bbox_aspect_ratio,iscrowd
coco-merged.json,237,3,10,Pubic Bone,frame_100.jpg,1920,1080,254.0,300.0,503.0,170.0,85510.0,0.04123746141975309,0.26197916666666665,0.1574074074074074,2.958823529411765,False
coco-merged.json,239,3,14,Inferior Epigastric Vessels,frame_100.jpg,1920,1080,1314.0,31.0,467.0,404.0,188668.0,0.09098572530864198,0.24322916666666666,0.37407407407407406,1.1559405940594059,False
coco-merged.json,843,3,5,Triangle of Doom,frame_100.jpg,1920,1080,1370.0,652.0,317.0,428.0,135676.0,0.06543016975308642,0.16510416666666666,0.3962962962962963,0.7406542056074766,False
coco-merged.json,1194,3,15,Testicular Vessels,frame_100.jpg,1920,1080,1436.0,410.0,367.0,492.0,180564.0,0.0870775462962963,0.19114583333333332,0.45555555555555555,0.7459349593495935,False
coco-merged.json,1202,3,8,Vas Deferens,frame_100.jpg,1920,1080,1387.0,610.0,129.0,168.0,21672.0,0.010451388888888889,0.0671875,0.15555555555555556,0.7678571428571429,False
coco-merged.json,1304,3,6,Triangle of Pain,frame_100.jpg,1920,1080,1605.0,424.0,212.0,486.0,103032.0,0.0496875,0.11041666666666666,0.45,0.43621399176954734,False
coco-merged.json,242,12,10,Pubic Bone,frame_101.jpg,1920,1080,366.0,521.0,309.0,142.0,43878.0,0.021160300925925926,0.1609375,0.13148148148148148,2.176056338028169,False
coco-merged.json,243,12,14,Inferior Epigastric Vessels,frame_101.jpg,1920,1080,1180.0,205.0,626.0,348.0,217848.0,0.10505787037037037,0.3260416666666667,0.32222222222222224,1.7988505747126438,False
coco-merged.json,845,12,5,Triangle of Doom,frame_101.jpg,1920,1080,1446.0,774.0,214.0,306.0,65484.0,0.031579861111111114,0.11145833333333334,0.2833333333333333,0.6993464052287581,False
coco-merged.json,846,12,6,Triangle of Pain,frame_101.jpg,1920,1080,1563.0,674.0,265.0,376.0,99640.0,0.0480516975308642,0.13802083333333334,0.34814814814814815,0.7047872340425532,False
coco-merged.json,1196,12,15,Testicular Vessels,frame_101.jpg,1920,1080,1413.0,587.0,411.0,484.0,198924.0,0.09593171296296296,0.2140625,0.44814814814814813,0.8491735537190083,False
coco-merged.json,1201,12,8,Vas Deferens,frame_101.jpg,1920,1080,1397.0,724.0,68.0,182.0,12376.0,0.005968364197530864,0.035416666666666666,0.1685185185185185,0.37362637362637363,False
coco-merged.json,246,13,10,Pubic Bone,frame_102.jpg,1920,1080,341.0,498.0,466.0,189.0,88074.0,0.04247395833333333,0.24270833333333333,0.175,2.4656084656084656,False
coco-merged.json,248,13,14,Inferior Epigastric Vessels,frame_102.jpg,1920,1080,1520.0,381.0,110.0,179.0,19690.0,0.009495563271604938,0.057291666666666664,0.16574074074074074,0.6145251396648045,False
coco-merged.json,847,13,5,Triangle of Doom,frame_102.jpg,1920,1080,1575.0,689.0,224.0,391.0,87584.0,0.04223765432098765,0.11666666666666667,0.36203703703703705,0.5728900255754475,False
coco-merged.json,848,13,6,Triangle of Pain,frame_102.jpg,1920,1080,1704.0,629.0,123.0,208.0,25584.0,0.012337962962962964,0.0640625,0.1925925925925926,0.5913461538461539,False
coco-merged.json,1197,13,15,Testicular Vessels,frame_102.jpg,1920,1080,1400.0,402.0,421.0,485.0,204185.0,0.09846884645061728,0.21927083333333333,0.44907407407407407,0.8680412371134021,False
coco-merged.json,1200,13,8,Vas Deferens,frame_102.jpg,1920,1080,1508.0,637.0,62.0,176.0,10912.0,0.005262345679012345,0.03229166666666667,0.16296296296296298,0.3522727272727273,False
coco-merged.json,249,14,10,Pubic Bone,frame_103.jpg,1920,1080,240.0,504.0,262.0,124.0,32488.0,0.01566743827160494,0.13645833333333332,0.11481481481481481,2.1129032258064515,False
coco-merged.json,252,14,14,Inferior Epigastric Vessels,frame_103.jpg,1920,1080,1245.0,294.0,221.0,192.0,42432.0,0.020462962962962964,0.11510416666666666,0.17777777777777778,1.1510416666666667,False
coco-merged.json,849,14,5,Triangle of Doom,frame_103.jpg,1920,1080,1429.0,687.0,287.0,393.0,112791.0,0.05439380787037037,0.14947916666666666,0.3638888888888889,0.7302798982188295,False
coco-merged.json,850,14,6,Triangle of Pain,frame_103.jpg,1920,1080,1655.0,591.0,162.0,260.0,42120.0,0.0203125,0.084375,0.24074074074074073,0.6230769230769231,False
coco-merged.json,1204,14,15,Testicular Vessels,frame_103.jpg,1920,1080,1423.0,493.0,401.0,416.0,166816.0,0.08044753086419754,0.20885416666666667,0.3851851851851852,0.9639423076923077,False
coco-merged.json,1205,14,8,Vas Deferens,frame_103.jpg,1920,1080,1404.0,591.0,105.0,214.0,22470.0,0.010836226851851852,0.0546875,0.19814814814814816,0.49065420560747663,False
coco-merged.json,253,15,10,Pubic Bone,frame_104.jpg,1920,1080,345.0,422.0,469.0,218.0,102242.0,0.04930652006172839,0.24427083333333333,0.20185185185185187,2.1513761467889907,False
coco-merged.json,254,15,14,Inferior Epigastric Vessels,frame_104.jpg,1920,1080,1337.0,26.0,410.0,369.0,151290.0,0.07296006944444444,0.21354166666666666,0.3416666666666667,1.1111111111111112,False
coco-merged.json,851,15,5,Triangle of Doom,frame_104.jpg,1920,1080,1486.0,625.0,341.0,455.0,155155.0,0.07482397762345679,0.17760416666666667,0.4212962962962963,0.7494505494505495,False
coco-merged.json,852,15,6,Triangle of Pain,frame_104.jpg,1920,1080,1690.0,503.0,136.0,216.0,29376.0,0.014166666666666666,0.07083333333333333,0.2,0.6296296296296297,False
coco-merged.json,1208,15,8,Vas Deferens,frame_104.jpg,1920,1080,1494.0,546.0,102.0,187.0,19074.0,0.00919849537037037,0.053125,0.17314814814814813,0.5454545454545454,False
coco-merged.json,1209,15,15,Testicular Vessels,frame_104.jpg,1920,1080,1481.0,414.0,336.0,366.0,122976.0,0.059305555555555556,0.175,0.3388888888888889,0.9180327868852459,False
coco-merged.json,258,16,10,Pubic Bone,frame_105.jpg,1920,1080,98.0,557.0,427.0,290.0,123830.0,0.059717399691358024,0.22239583333333332,0.26851851851851855,1.4724137931034482,False
coco-merged.json,259,17,10,Pubic Bone,frame_106.jpg,1920,1080,99.0,509.0,351.0,281.0,98631.0,0.047565104166666664,0.1828125,0.2601851851851852,1.2491103202846976,False
coco-merged.json,853,17,5,Triangle of Doom,frame_106.jpg,1920,1080,1359.0,523.0,464.0,554.0,257056.0,0.12396604938271605,0.24166666666666667,0.512962962962963,0.8375451263537906,False
coco-merged.json,854,17,6,Triangle of Pain,frame_106.jpg,1920,1080,1490.0,312.0,326.0,365.0,118990.0,0.05738329475308642,0.16979166666666667,0.33796296296296297,0.8931506849315068,False
